pokemon_1,type_1,hp_1,attack_1,defense_1,speed_1,pokemon_2,type_2,hp_2,attack_2,defense_2,speed_2,type_mult_1_vs_2,type_mult_2_vs_1,hp_diff,attack_diff,defense_diff,speed_diff,stat_total_diff,turns,winner
Victreebel,Grass,88,39,22,29,Tauros,Normal,82,38,33,46,1.0,1.0,6,1,-11,-17,-21,4,0
Poliwhirl,Water,71,24,22,37,Omastar,Rock,77,22,43,23,2.0,1.0,-6,2,-21,14,-11,4,1
Rhydon,Ground,115,49,42,16,Charmander,Fire,60,19,15,27,2.0,1.0,55,30,27,-11,101,1,1
Vulpix,Fire,60,15,14,27,Vileplume,Grass,82,30,29,21,2.0,0.5,-22,-15,-15,6,-46,4,0
Raichu,Electric,66,34,19,46,Weepinbell,Grass,71,34,17,23,0.5,1.0,-5,0,2,23,20,3,0
Nidorina,Poison,77,23,23,23,Parasect,Bug,66,36,28,12,1.0,0.5,11,-13,-5,11,4,5,1
Magikarp,Water,60,15,19,33,Alakazam,Psychic,60,19,15,50,1.0,1.0,0,-4,4,-17,-17,4,0
Victreebel,Grass,88,39,22,29,Meowth,Normal,60,17,12,37,1.0,1.0,28,22,10,-8,52,2,1
Grimer,Poison,88,30,17,10,Persian,Normal,71,26,21,48,1.0,1.0,17,4,-4,-38,-21,3,1
Goldeen,Water,60,25,21,26,Seaking,Water,88,34,22,28,0.5,0.5,-28,-9,-1,-2,-40,5,0
Psyduck,Water,60,19,16,23,Slowbro,Water,104,28,38,12,0.5,0.5,-44,-9,-22,11,-64,5,0
Krabby,Water,60,39,31,21,Clefable,Fairy,104,26,25,25,1.0,1.0,-44,13,6,-4,-29,4,0
Alakazam,Psychic,60,19,15,50,Graveler,Rock,60,36,40,14,1.0,1.0,0,-17,-25,36,-6,2,0
Kakuna,Bug,60,15,17,14,Mewtwo,Psychic,116,41,31,54,2.0,1.0,-56,-26,-14,-40,-136,2,0
Primeape,Fighting,71,39,21,39,Gloom,Grass,66,24,24,16,1.0,1.0,5,15,-3,23,40,3,1
Tauros,Normal,82,38,33,46,Hitmonchan,Fighting,60,39,27,31,1.0,2.0,22,-1,6,15,42,2,0
Bulbasaur,Grass,60,18,17,18,Magneton,Electric,60,22,33,29,1.0,0.5,0,-4,-16,-11,-31,6,0
Chansey,Normal,180,15,12,21,Dewgong,Water,99,26,28,29,1.0,1.0,81,-11,-16,-8,46,5,0
Dratini,Dragon,60,24,15,21,Arcanine,Fire,99,41,28,39,1.0,0.5,-39,-17,-13,-18,-87,3,0
Omanyte,Rock,60,15,35,14,Rattata,Normal,60,21,12,30,1.0,0.5,0,-6,23,-16,1,3,1
Graveler,Rock,60,36,40,14,Persian,Normal,71,26,21,48,1.0,0.5,-11,10,19,-34,-16,3,1
Lapras,Water,143,32,28,25,Tentacool,Water,60,15,12,29,0.5,0.5,83,17,16,-4,112,3,1
Rapidash,Fire,71,38,24,44,Hypno,Psychic,93,27,24,28,1.0,1.0,-22,11,0,16,5,4,1
Aerodactyl,Rock,88,39,22,54,Magikarp,Water,60,15,19,33,1.0,2.0,28,24,3,21,76,2,1
Nidoran-m,Poison,60,21,14,21,Weezing,Poison,71,34,42,25,0.5,0.5,-11,-13,-28,-4,-56,4,0
Squirtle,Water,60,18,22,18,Eevee,Normal,60,20,17,23,1.0,1.0,0,-2,5,-5,-2,4,0
Seaking,Water,88,34,22,28,Chansey,Normal,180,15,12,21,1.0,1.0,-92,19,10,7,-56,5,1
Voltorb,Electric,60,15,17,42,Haunter,Ghost,60,19,15,39,1.0,1.0,0,-4,2,3,1,4,1
Moltres,Fire,99,38,31,37,Graveler,Rock,60,36,40,14,0.5,2.0,39,2,-9,23,55,3,0
Doduo,Normal,60,32,15,31,Electabuzz,Electric,71,31,19,44,1.0,1.0,-11,1,-4,-13,-27,2,0
Ditto,Normal,60,18,16,20,Alakazam,Psychic,60,19,15,50,1.0,1.0,0,-1,1,-30,-30,3,0
Kingler,Water,60,49,40,31,Eevee,Normal,60,20,17,23,1.0,1.0,0,29,23,8,60,2,1
Jynx,Ice,71,19,12,39,Aerodactyl,Rock,88,39,22,54,1.0,2.0,-17,-20,-10,-15,-62,1,0
Pikachu,Electric,60,20,14,37,Grimer,Poison,88,30,17,10,1.0,1.0,-28,-10,-3,27,-14,2,0
Cloyster,Water,60,36,50,29,Spearow,Normal,60,22,12,29,1.0,1.0,0,14,38,0,52,2,1
Seel,Water,71,17,19,18,Koffing,Poison,60,24,33,14,1.0,1.0,11,-7,-14,4,-6,4,0
Jigglypuff,Normal,126,17,12,10,Tauros,Normal,82,38,33,46,1.0,1.0,44,-21,-21,-36,-34,3,0
Rhydon,Ground,115,49,42,16,Hitmonchan,Fighting,60,39,27,31,1.0,1.0,55,10,15,-15,65,3,1
Pidgeot,Normal,91,30,26,42,Kakuna,Bug,60,15,17,14,1.0,1.0,31,15,9,28,83,3,1
Metapod,Bug,60,15,19,12,Fearow,Normal,71,34,22,42,1.0,1.0,-11,-19,-3,-30,-63,2,0
Exeggcute,Grass,66,15,28,16,Blastoise,Water,86,31,35,32,2.0,0.5,-20,-16,-7,-16,-59,5,1
Omanyte,Rock,60,15,35,14,Flareon,Fire,71,49,21,27,2.0,0.5,-11,-34,14,-13,-44,3,1
Shellder,Water,60,24,35,16,Zapdos,Electric,99,34,29,42,1.0,2.0,-39,-10,6,-26,-69,2,0
Beedrill,Bug,71,34,14,31,Rapidash,Fire,71,38,24,44,0.5,2.0,0,-4,-10,-13,-27,1,0
Pikachu,Electric,60,20,14,37,Mr-mime,Psychic,60,17,22,37,1.0,1.0,0,3,-8,0,-5,3,0
Nidoking,Poison,89,38,26,35,Golduck,Water,88,31,27,35,1.0,1.0,1,7,-1,0,7,4,1
Gloom,Grass,66,24,24,16,Onix,Rock,60,17,50,29,2.0,1.0,6,7,-26,-13,-26,4,1
Vileplume,Grass,82,30,29,21,Cloyster,Water,60,36,50,29,2.0,0.5,22,-6,-21,-8,-13,3,1
Rattata,Normal,60,21,12,30,Moltres,Fire,99,38,31,37,1.0,1.0,-39,-17,-19,-7,-82,2,0
Seadra,Water,60,24,33,35,Machoke,Fighting,88,38,24,18,1.0,1.0,-28,-14,9,17,-16,4,0
Gengar,Ghost,66,24,21,46,Omastar,Rock,77,22,43,23,1.0,1.0,-11,2,-22,23,-8,4,0
Porygon,Normal,71,22,24,16,Golem,Rock,88,45,45,18,0.5,1.0,-17,-23,-21,-2,-63,3,0
Lickitung,Normal,99,20,26,12,Dodrio,Normal,66,41,24,46,1.0,1.0,33,-21,2,-34,-20,4,0
Pidgeot,Normal,91,30,26,42,Alakazam,Psychic,60,19,15,50,1.0,1.0,31,11,11,-8,45,2,1
Tentacool,Water,60,15,12,29,Doduo,Normal,60,32,15,31,1.0,1.0,0,-17,-3,-2,-22,2,0
Poliwhirl,Water,71,24,22,37,Snorlax,Normal,176,41,22,12,1.0,1.0,-105,-17,0,25,-97,3,0
Seel,Water,71,17,19,18,Horsea,Water,60,15,24,25,0.5,0.5,11,2,-5,-7,1,10,1
Porygon,Normal,71,22,24,16,Flareon,Fire,71,49,21,27,1.0,1.0,0,-27,3,-11,-35,3,0
Mew,Psychic,110,38,35,42,Charizard,Fire,85,31,27,42,1.0,1.0,25,7,8,0,40,4,1
Butterfree,Bug,66,17,17,29,Seaking,Water,88,34,22,28,1.0,1.0,-22,-17,-5,1,-43,3,0
Ivysaur,Grass,66,23,22,25,Raichu,Electric,66,34,19,46,1.0,0.5,0,-11,3,-21,-29,4,1
Butterfree,Bug,66,17,17,29,Arcanine,Fire,99,41,28,39,0.5,2.0,-33,-24,-11,-10,-78,1,0
Marowak,Ground,66,30,38,18,Nidoran-m,Poison,60,21,14,21,2.0,0.5,6,9,24,-3,36,1,1
Kabuto,Rock,60,30,31,23,Ivysaur,Grass,66,23,22,25,1.0,2.0,-6,7,9,-2,8,3,0
Kadabra,Psychic,60,15,12,44,Graveler,Rock,60,36,40,14,1.0,1.0,0,-21,-28,30,-19,2,0
Venonat,Bug,66,20,17,18,Onix,Rock,60,17,50,29,1.0,2.0,6,3,-33,-11,-35,3,0
Grimer,Poison,88,30,17,10,Tangela,Grass,71,20,40,25,2.0,0.5,17,10,-23,-15,-11,3,1
Hypno,Psychic,93,27,24,28,Blastoise,Water,86,31,35,32,1.0,1.0,7,-4,-11,-4,-12,4,0
Mew,Psychic,110,38,35,42,Caterpie,Bug,60,15,12,18,1.0,2.0,50,23,23,24,120,2,1
Diglett,Ground,60,20,12,39,Tauros,Normal,82,38,33,46,1.0,1.0,-22,-18,-21,-7,-68,2,0
Seel,Water,71,17,19,18,Sandslash,Ground,82,38,38,27,2.0,1.0,-11,-21,-19,-9,-60,2,0
Raticate,Normal,60,30,21,40,Nidoqueen,Poison,99,34,30,31,1.0,1.0,-39,-4,-9,9,-43,2,0
Seel,Water,71,17,19,18,Snorlax,Normal,176,41,22,12,1.0,1.0,-105,-24,-3,6,-126,3,0
Mr-mime,Psychic,60,17,22,37,Seaking,Water,88,34,22,28,1.0,1.0,-28,-17,0,9,-36,3,0
Abra,Psychic,60,15,12,37,Porygon,Normal,71,22,24,16,1.0,1.0,-11,-7,-12,21,-9,2,0
Vileplume,Grass,82,30,29,21,Zubat,Poison,60,17,12,23,0.5,2.0,22,13,17,-2,50,3,1
Porygon,Normal,71,22,24,16,Nidoran-m,Poison,60,21,14,21,1.0,1.0,11,1,10,-5,17,3,1
Nidorino,Poison,67,27,19,27,Starmie,Water,66,28,29,48,1.0,1.0,1,-1,-10,-21,-31,3,0
Rapidash,Fire,71,38,24,44,Dugtrio,Ground,60,38,17,50,1.0,2.0,11,0,7,-6,12,2,0
Tentacool,Water,60,15,12,29,Jynx,Ice,71,19,12,39,1.0,0.5,-11,-4,0,-10,-25,4,1
Pidgeot,Normal,91,30,26,42,Pidgeotto,Normal,69,22,19,29,1.0,1.0,22,8,7,13,50,3,1
Dratini,Dragon,60,24,15,21,Moltres,Fire,99,38,31,37,1.0,0.5,-39,-14,-16,-16,-85,3,0
Haunter,Ghost,60,19,15,39,Pidgey,Normal,60,17,14,23,0.0,0.0,0,2,1,16,19,15,1
Diglett,Ground,60,20,12,39,Bellsprout,Grass,60,28,12,16,0.5,2.0,0,-8,0,23,15,1,0
Bellsprout,Grass,60,28,12,16,Wartortle,Water,64,23,28,24,2.0,0.5,-4,5,-16,-8,-23,2,1
Arbok,Poison,66,36,24,33,Mr-mime,Psychic,60,17,22,37,1.0,2.0,6,19,2,-4,23,3,0
Venusaur,Grass,88,31,29,33,Kadabra,Psychic,60,15,12,44,1.0,1.0,28,16,17,-11,50,2,1
Persian,Normal,71,26,21,48,Onix,Rock,60,17,50,29,0.5,1.0,11,9,-29,19,10,6,0
Wartortle,Water,64,23,28,24,Grimer,Poison,88,30,17,10,1.0,1.0,-24,-7,11,14,-6,4,1
Arbok,Poison,66,36,24,33,Beedrill,Bug,71,34,14,31,1.0,0.5,-5,2,10,2,9,2,1
Beedrill,Bug,71,34,14,31,Flareon,Fire,71,49,21,27,0.5,2.0,0,-15,-7,4,-18,1,0
Venonat,Bug,66,20,17,18,Nidoran-f,Poison,60,17,18,17,0.5,1.0,6,3,-1,1,9,5,0
Machoke,Fighting,88,38,24,18,Charmeleon,Fire,63,24,20,33,1.0,1.0,25,14,4,-15,28,2,1
Caterpie,Bug,60,15,12,18,Staryu,Water,60,17,19,35,1.0,1.0,0,-2,-7,-17,-26,3,0
Krabby,Water,60,39,31,21,Rhydon,Ground,115,49,42,16,2.0,1.0,-55,-10,-11,5,-71,3,0
Clefable,Fairy,104,26,25,25,Bulbasaur,Grass,60,18,17,18,1.0,1.0,44,8,8,7,67,3,1
Abra,Psychic,60,15,12,37,Clefable,Fairy,104,26,25,25,1.0,1.0,-44,-11,-13,12,-56,2,0
Spearow,Normal,60,22,12,29,Arbok,Poison,66,36,24,33,1.0,1.0,-6,-14,-12,-4,-36,2,0
Poliwag,Water,60,19,14,37,Magnemite,Electric,60,15,24,18,1.0,2.0,0,4,-10,19,13,2,0
Wartortle,Water,64,23,28,24,Kabutops,Rock,66,43,36,33,2.0,1.0,-2,-20,-8,-9,-39,3,0
Kingler,Water,60,49,40,31,Ekans,Poison,60,22,15,23,1.0,1.0,0,27,25,8,60,2,1
Cloyster,Water,60,36,50,29,Farfetchd,Normal,60,34,19,25,1.0,1.0,0,2,31,4,37,2,1
Psyduck,Water,60,19,16,23,Nidoran-f,Poison,60,17,18,17,1.0,1.0,0,2,-2,6,6,4,1
Jynx,Ice,71,19,12,39,Vileplume,Grass,82,30,29,21,2.0,1.0,-11,-11,-17,18,-21,2,0
Magnemite,Electric,60,15,24,18,Clefable,Fairy,104,26,25,25,1.0,1.0,-44,-11,-1,-7,-63,4,0
Gastly,Ghost,60,15,12,33,Articuno,Ice,99,32,35,35,1.0,1.0,-39,-17,-23,-2,-81,2,0
Articuno,Ice,99,32,35,35,Nidoran-m,Poison,60,21,14,21,1.0,1.0,39,11,21,14,85,2,1
Articuno,Ice,99,32,35,35,Beedrill,Bug,71,34,14,31,1.0,1.0,28,-2,21,4,51,3,1
Dewgong,Water,99,26,28,29,Tentacruel,Water,88,26,22,42,0.5,0.5,11,0,6,-13,4,9,1
Paras,Bug,60,26,19,10,Zubat,Poison,60,17,12,23,0.5,1.0,0,9,7,-13,3,4,0
Meowth,Normal,60,17,12,37,Pidgeotto,Normal,69,22,19,29,1.0,1.0,-9,-5,-7,8,-13,3,0
Poliwag,Water,60,19,14,37,Nidoran-m,Poison,60,21,14,21,1.0,1.0,0,-2,0,16,14,3,1
Pidgeotto,Normal,69,22,19,29,Snorlax,Normal,176,41,22,12,1.0,1.0,-107,-19,-3,17,-112,3,0
Wartortle,Water,64,23,28,24,Pidgey,Normal,60,17,14,23,1.0,1.0,4,6,14,1,25,3,1
Spearow,Normal,60,22,12,29,Charmander,Fire,60,19,15,27,1.0,1.0,0,3,-3,2,2,3,1
Pidgeotto,Normal,69,22,19,29,Geodude,Rock,60,30,35,10,0.5,1.0,9,-8,-16,19,4,3,0
Rhyhorn,Ground,88,32,33,10,Snorlax,Normal,176,41,22,12,1.0,1.0,-88,-9,11,-2,-88,5,0
Grimer,Poison,88,30,17,10,Squirtle,Water,60,18,22,18,1.0,1.0,28,12,-5,-8,27,3,1
Machop,Fighting,77,30,17,14,Magnemite,Electric,60,15,24,18,1.0,1.0,17,15,-7,-4,21,4,1
Ninetales,Fire,80,28,26,42,Kangaskhan,Normal,115,36,28,37,1.0,1.0,-35,-8,-2,5,-40,4,0
Horsea,Water,60,15,24,25,Charmander,Fire,60,19,15,27,2.0,0.5,0,-4,9,-2,3,2,1
Kabutops,Rock,66,43,36,33,Victreebel,Grass,88,39,22,29,1.0,2.0,-22,4,14,4,0,2,0
Magneton,Electric,60,22,33,29,Gyarados,Water,104,47,27,34,2.0,1.0,-44,-25,6,-5,-68,3,0
Pidgeotto,Normal,69,22,19,29,Mankey,Fighting,60,30,12,29,1.0,2.0,9,-8,7,0,8,2,1
Snorlax,Normal,176,41,22,12,Nidoran-f,Poison,60,17,18,17,1.0,1.0,116,24,4,-5,139,2,1
Squirtle,Water,60,18,22,18,Golem,Rock,88,45,45,18,2.0,1.0,-28,-27,-23,0,-78,2,0
Arbok,Poison,66,36,24,33,Nidoran-f,Poison,60,17,18,17,0.5,0.5,6,19,6,16,47,5,1
Persian,Normal,71,26,21,48,Flareon,Fire,71,49,21,27,1.0,1.0,0,-23,0,21,-2,2,0
Gloom,Grass,66,24,24,16,Weezing,Poison,71,34,42,25,0.5,2.0,-5,-10,-18,-9,-42,2,0
Onix,Rock,60,17,50,29,Nidorino,Poison,67,27,19,27,1.0,0.5,-7,-10,31,2,16,5,1
Gyarados,Water,104,47,27,34,Tentacool,Water,60,15,12,29,0.5,0.5,44,32,15,5,96,2,1
Dewgong,Water,99,26,28,29,Magnemite,Electric,60,15,24,18,1.0,2.0,39,11,4,11,65,4,1
Ponyta,Fire,60,32,19,37,Beedrill,Bug,71,34,14,31,2.0,0.5,-11,-2,5,6,-2,1,1
Gyarados,Water,104,47,27,34,Bulbasaur,Grass,60,18,17,18,0.5,2.0,44,29,10,16,99,3,1
Poliwag,Water,60,19,14,37,Bellsprout,Grass,60,28,12,16,0.5,2.0,0,-9,2,21,14,1,0
Kabutops,Rock,66,43,36,33,Tauros,Normal,82,38,33,46,1.0,0.5,-16,5,3,-13,-21,4,1
Raticate,Normal,60,30,21,40,Dratini,Dragon,60,24,15,21,1.0,1.0,0,6,6,19,31,2,1
Tentacool,Water,60,15,12,29,Slowbro,Water,104,28,38,12,0.5,0.5,-44,-13,-26,17,-66,4,0
Psyduck,Water,60,19,16,23,Nidorina,Poison,77,23,23,23,1.0,1.0,-17,-4,-7,0,-28,3,0
Spearow,Normal,60,22,12,29,Geodude,Rock,60,30,35,10,0.5,1.0,0,-8,-23,19,-12,2,0
Shellder,Water,60,24,35,16,Zubat,Poison,60,17,12,23,1.0,1.0,0,7,23,-7,23,2,1
Muk,Poison,115,39,26,21,Omastar,Rock,77,22,43,23,0.5,1.0,38,17,-17,-2,36,9,0
Butterfree,Bug,66,17,17,29,Venomoth,Bug,77,24,21,37,1.0,1.0,-11,-7,-4,-8,-30,3,0
Butterfree,Bug,66,17,17,29,Poliwhirl,Water,71,24,22,37,1.0,1.0,-5,-7,-5,-8,-25,3,0
Rhydon,Ground,115,49,42,16,Kabuto,Rock,60,30,31,23,2.0,0.5,55,19,11,-7,78,2,1
Vulpix,Fire,60,15,14,27,Articuno,Ice,99,32,35,35,2.0,0.5,-39,-17,-21,-8,-85,4,0
Vulpix,Fire,60,15,14,27,Alakazam,Psychic,60,19,15,50,1.0,1.0,0,-4,-1,-23,-28,3,0
Geodude,Rock,60,30,35,10,Growlithe,Fire,60,26,15,25,2.0,0.5,0,4,20,-15,9,1,1
Voltorb,Electric,60,15,17,42,Oddish,Grass,60,19,19,12,0.5,1.0,0,-4,-2,30,24,4,0
Tangela,Grass,71,20,40,25,Seadra,Water,60,24,33,35,2.0,0.5,11,-4,7,-10,4,3,1
Omanyte,Rock,60,15,35,14,Magnemite,Electric,60,15,24,18,1.0,1.0,0,0,11,-4,7,6,1
Venomoth,Bug,77,24,21,37,Dratini,Dragon,60,24,15,21,1.0,1.0,17,0,6,16,39,3,1
Ditto,Normal,60,18,16,20,Growlithe,Fire,60,26,15,25,1.0,1.0,0,-8,1,-5,-12,3,0
Nidoran-f,Poison,60,17,18,17,Nidoqueen,Poison,99,34,30,31,0.5,0.5,-39,-17,-12,-14,-82,4,0
Squirtle,Water,60,18,22,18,Weepinbell,Grass,71,34,17,23,0.5,2.0,-11,-16,5,-5,-27,2,0
Sandshrew,Ground,60,28,29,16,Fearow,Normal,71,34,22,42,1.0,1.0,-11,-6,7,-26,-36,3,0
Weedle,Bug,60,15,12,21,Machamp,Fighting,99,49,28,23,0.5,0.5,-39,-34,-16,-2,-91,2,0
Machop,Fighting,77,30,17,14,Goldeen,Water,60,25,21,26,1.0,1.0,17,5,-4,-12,6,3,1
Paras,Bug,60,26,19,10,Poliwhirl,Water,71,24,22,37,1.0,1.0,-11,2,-3,-27,-39,4,0
Doduo,Normal,60,32,15,31,Kakuna,Bug,60,15,17,14,1.0,1.0,0,17,-2,17,32,3,1
Arbok,Poison,66,36,24,33,Slowbro,Water,104,28,38,12,1.0,1.0,-38,8,-14,21,-23,4,0
Mewtwo,Psychic,116,41,31,54,Chansey,Normal,180,15,12,21,1.0,1.0,-64,26,19,33,14,4,1
Poliwag,Water,60,19,14,37,Arbok,Poison,66,36,24,33,1.0,1.0,-6,-17,-10,4,-29,2,0
Hitmonlee,Fighting,60,45,18,36,Koffing,Poison,60,24,33,14,0.5,1.0,0,21,-15,22,28,3,0
Magnemite,Electric,60,15,24,18,Porygon,Normal,71,22,24,16,1.0,1.0,-11,-7,0,2,-16,4,0
Tauros,Normal,82,38,33,46,Weepinbell,Grass,71,34,17,23,1.0,1.0,11,4,16,23,54,2,1
Hitmonlee,Fighting,60,45,18,36,Venonat,Bug,66,20,17,18,0.5,0.5,-6,25,1,18,38,4,1
Pinsir,Bug,71,47,35,35,Goldeen,Water,60,25,21,26,1.0,1.0,11,22,14,9,56,2,1
Dugtrio,Ground,60,38,17,50,Seel,Water,71,17,19,18,1.0,2.0,-11,21,-2,32,40,2,0
Kabuto,Rock,60,30,31,23,Seadra,Water,60,24,33,35,1.0,2.0,0,6,-2,-12,-8,3,0
Snorlax,Normal,176,41,22,12,Dratini,Dragon,60,24,15,21,1.0,1.0,116,17,7,-9,131,2,1
Venomoth,Bug,77,24,21,37,Drowzee,Psychic,66,18,15,17,2.0,1.0,11,6,6,20,43,2,1
Doduo,Normal,60,32,15,31,Venusaur,Grass,88,31,29,33,1.0,1.0,-28,1,-14,-2,-43,3,0
Sandslash,Ground,82,38,38,27,Slowbro,Water,104,28,38,12,1.0,2.0,-22,10,0,15,3,4,0
Gastly,Ghost,60,15,12,33,Muk,Poison,115,39,26,21,1.0,0.5,-55,-24,-14,12,-81,3,0
Shellder,Water,60,24,35,16,Meowth,Normal,60,17,12,37,1.0,1.0,0,7,23,-21,9,2,1
Pidgeotto,Normal,69,22,19,29,Krabby,Water,60,39,31,21,1.0,1.0,9,-17,-12,8,-12,3,0
Venomoth,Bug,77,24,21,37,Flareon,Fire,71,49,21,27,0.5,2.0,6,-25,0,10,-9,2,0
Squirtle,Water,60,18,22,18,Ivysaur,Grass,66,23,22,25,0.5,2.0,-6,-5,0,-7,-18,2,0
Pidgey,Normal,60,17,14,23,Beedrill,Bug,71,34,14,31,1.0,1.0,-11,-17,0,-8,-36,2,0
Metapod,Bug,60,15,19,12,Pikachu,Electric,60,20,14,37,1.0,1.0,0,-5,5,-25,-25,4,0
Mew,Psychic,110,38,35,42,Kabutops,Rock,66,43,36,33,1.0,1.0,44,-5,-1,9,47,4,1
Venomoth,Bug,77,24,21,37,Electrode,Electric,66,19,24,60,1.0,1.0,11,5,-3,-23,-10,5,1
Cubone,Ground,60,19,33,14,Metapod,Bug,60,15,19,12,0.5,1.0,0,4,14,2,20,7,0
Hypno,Psychic,93,27,24,28,Slowpoke,Water,99,24,22,10,1.0,1.0,-6,3,2,18,17,6,1
Nidorino,Poison,67,27,19,27,Gloom,Grass,66,24,24,16,2.0,0.5,1,3,-5,11,10,2,1
Hitmonchan,Fighting,60,39,27,31,Moltres,Fire,99,38,31,37,1.0,1.0,-39,1,-4,-6,-48,3,0
Mew,Psychic,110,38,35,42,Shellder,Water,60,24,35,16,1.0,1.0,50,14,0,26,90,4,1
Raichu,Electric,66,34,19,46,Persian,Normal,71,26,21,48,1.0,1.0,-5,8,-2,-2,-1,3,1
Parasect,Bug,66,36,28,12,Arbok,Poison,66,36,24,33,0.5,1.0,0,0,4,-21,-17,4,0
Magnemite,Electric,60,15,24,18,Kabuto,Rock,60,30,31,23,1.0,1.0,0,-15,-7,-5,-27,3,0
Dewgong,Water,99,26,28,29,Psyduck,Water,60,19,16,23,0.5,0.5,39,7,12,6,64,5,1
Rhyhorn,Ground,88,32,33,10,Omastar,Rock,77,22,43,23,2.0,0.5,11,10,-10,-13,-2,3,1
Arbok,Poison,66,36,24,33,Cubone,Ground,60,19,33,14,0.5,2.0,6,17,-9,19,33,3,0
Doduo,Normal,60,32,15,31,Onix,Rock,60,17,50,29,0.5,1.0,0,15,-35,2,-18,3,0
Magneton,Electric,60,22,33,29,Gengar,Ghost,66,24,21,46,1.0,1.0,-6,-2,12,-17,-13,4,1
Hitmonchan,Fighting,60,39,27,31,Exeggcute,Grass,66,15,28,16,1.0,1.0,-6,24,-1,15,32,3,1
Dugtrio,Ground,60,38,17,50,Vileplume,Grass,82,30,29,21,0.5,2.0,-22,8,-12,29,3,2,0
Exeggcute,Grass,66,15,28,16,Rhydon,Ground,115,49,42,16,2.0,0.5,-49,-34,-14,0,-97,5,0
Porygon,Normal,71,22,24,16,Gloom,Grass,66,24,24,16,1.0,1.0,5,-2,0,0,3,4,1
Wigglytuff,Normal,154,26,15,18,Pinsir,Bug,71,47,35,35,1.0,1.0,83,-21,-20,-17,25,4,0
Rhydon,Ground,115,49,42,16,Charmeleon,Fire,63,24,20,33,2.0,1.0,52,25,22,-17,82,1,1
Raichu,Electric,66,34,19,46,Machamp,Fighting,99,49,28,23,1.0,1.0,-33,-15,-9,23,-34,2,0
Magnemite,Electric,60,15,24,18,Eevee,Normal,60,20,17,23,1.0,1.0,0,-5,7,-5,-3,4,1
